variable;unit;min;max;definition
Lifetime|Liquids|Gas|w/o CCS;years;0;;Lifetime of a new gas to liquids plant w/o CCS. Lifetime should be calculated by summing all vintages of a  capacity unit (e.g. (1+1+0.9+0.7+0.5) * 10 years = 41 years) or by the e-folding time for exponential capacity depreciation.  The lifetime should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report lifetime for the additional plant types by adding variables Lifetime|Liquids|Gas|w/o CCS|2, ... Lifetime|Liquids|Gas|w/o CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Lifetime|Liquids|Oil;years;0;;Lifetime of a new oil refining plant. Lifetime should be calculated by summing all vintages of a  capacity unit (e.g. (1+1+0.9+0.7+0.5) * 10 years = 41 years) or by the e-folding time for exponential capacity depreciation.  The lifetime should refer to the plant type(s) for which capital costs have been reported. If capital cost for more than one plant type has been reported, modellers should report lifetime for the additional plant types by adding variables Lifetime|Liquids|Oil|w/ CCS|2, ... Lifetime|Liquids|Oil|w/ CCS|N (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Electricity|Biomass|w/ CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new biomass power plant with CCS. If more than one CCS biomass power technology is modelled, modellers should report fixed O&M costs  for each represented CCS biomass power technology by adding variables OM Cost|Fixed|Electricity|Biomass|w/ CCS|2, ... OM Cost|Fixed|Electricity|Biomass|w/ CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Electricity|Biomass|w/o CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new biomass power plant w/o CCS. If more than one biomass power technology is modelled, modellers should report fixed O&M costs  for each represented biomass power technology by adding variables OM Cost|Fixed|Electricity|Biomass|w/o CCS|2, ... OM Cost|Fixed|Electricity|Biomass|w/o CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Electricity|Coal|w/ CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new coal power plant with CCS. If more than one CCS coal power technology is modelled (e.g. subcritical PC with post-combustion capture, supercritical PC with post-combustion capture, supercritical PC with oxyfuel combustion and capture, IGCC with pre-combustion capture), modellers should report fixed O&M costs  for each represented CCS coal power technology by adding variables OM Cost|Fixed|Electricity|Coal|w/ CCS|2, ... OM Cost|Fixed|Electricity|Coal|w/ CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Electricity|Coal|w/o CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new coal power plant w/o CCS. If more than one coal power technology is modelled (e.g. subcritical PC, supercritical PC, IGCC), modellers should report fixed O&M costs  for each represented coal power technology by adding variables OM Cost|Fixed|Electricity|Coal|w/o CCS|2, ... OM Cost|Fixed|Electricity|Coal|w/o CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Electricity|Gas|w/ CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new gas power plant with CCS. If more than one CCS gas power technology is modelled, modellers should report fixed O&M costs  for each represented CCS gas power technology by adding variables OM Cost|Fixed|Electricity|Gas|w/ CCS|2, ... OM Cost|Fixed|Electricity|Gas|w/ CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Electricity|Gas|w/o CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new gas power plant w/o CCS. If more than one gas power technology is modelled, modellers should report fixed O&M costs  for each represented gas power technology by adding variables OM Cost|Fixed|Electricity|Gas|w/o CCS|2, ... OM Cost|Fixed|Electricity|Gas|w/o CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Electricity|Hydro;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new hydropower plant. If more than one hydropower technology is modelled, modellers should report fixed O&M costs  for each represented hydropower technology by adding variables OM Cost|Fixed|Electricity|Hydro|2, ... OM Cost|Fixed|Electricity|Hydro|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Electricity|Nuclear;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new nuclear power plants. If more than one nuclear power plant technology is modelled (e.g., Gen II, III, IV, LWR, thermal reactors with other moderator materials, fast breeders), modellers should report fixed O&M costs  for each represented nuclear power technology by adding variables OM Cost|Fixed|Electricity|Nuclear|2, ... Capital|Cost|Electricity|Nuclear|N (with N = number of represented nuclear power technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Electricity|Geothermal;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new geothermal power plants. If more than one geothermal power plant technology is modelled (e.g., hydrothermal, hard dry rock), modellers should report fixed O&M costs  for each represented geothermal power technology by adding variables OM Cost|Fixed|Electricity|Geothermal|2, ... Capital|Cost|Electricity|Geothermal|N (with N = number of represented geothermal power technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Electricity|Solar|CSP;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new concentrated solar power plant. If more than one CSP technology is modelled (e.g., parabolic trough, solar power tower), modellers should report fixed O&M costs  for each represented CSP technology by adding variables OM Cost|Fixed|Electricity|Solar|CSP|2, ... Capital|Cost|Electricity|Solar|CSP|N (with N = number of represented CSP technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Electricity|Solar|PV;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new solar PV units. If more than one PV technology is modelled (e.g., centralized PV plant, distributed (rooftop) PV, crystalline SI PV, thin-film PV), modellers should report fixed O&M costs  for each represented PV technology by adding variables OM Cost|Fixed|Electricity|Solar|PV|2, ... Capital|Cost|Electricity|Solar|PV|N (with N = number of represented PV technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Electricity|Wind;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new wind power plants. This variable should only be filled, if wind power is not separated into onshore and offshore. If more than one wind power technology is modelled (e.g., wind power units with different hub height and capacity), modellers should report fixed O&M costs  for each represented wind power technology by adding variables OM Cost|Fixed|Electricity|Wind|2, ... Capital|Cost|Electricity|Wind|N (with N = number of represented wind power technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Electricity|Wind|Offshore;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new offshore wind power plants. This variable should only be filled, if wind power is separated into onshore and offshore. If more than one offshore wind power technology is modelled (e.g., wind power units with different hub height and capacity), modellers should report fixed O&M costs  for each represented wind power technology by adding variables OM Cost|Fixed|Electricity|Wind|Offshore|2, ... Capital|Cost|Electricity|Wind|Offshore|N (with N = number of represented offshore wind power technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Electricity|Wind|Onshore;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new onshore wind power plants. This variable should only be filled, if wind power is separated into onshore and offshore. If more than one onshore wind power technology is modelled (e.g., wind power units with different hub height and capacity), modellers should report fixed O&M costs  for each represented wind power technology by adding variables OM Cost|Fixed|Electricity|Wind|Onshore|2, ... Capital|Cost|Electricity|Wind|Onshore|N (with N = number of represented onshore wind power technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Gases|Biomass|w/ CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new biomass to gas plant with CCS. If more than one CCS biomass to gas technology is modelled, modellers should report fixed O&M costs  for each represented CCS biomass to  gas technology by adding variables OM Cost|Fixed|Gases|Biomass|w/ CCS|2, ... OM Cost|Fixed|Gases|Biomass|w/ CCS|N (with N = number of represented technologies). (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Gases|Biomass|w/o CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new biomass to gas plant w/o CCS. If more than one biomass to gas technology is modelled, modellers should report fixed O&M costs  for each represented biomass to gas technology by adding variables OM Cost|Fixed|Gases|Biomass|w/o CCS|2, ... OM Cost|Fixed|Gases|Biomass|w/o CCS|N (with N = number of represented technologies). (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Gases|Coal|w/ CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new coal to gas plant with CCS. If more than one CCS coal to gas technology is modelled, modellers should report fixed O&M costs  for each represented CCS coal to  gas technology by adding variables OM Cost|Fixed|Gases|Coal|w/ CCS|2, ... OM Cost|Fixed|Gases|Coal|w/ CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Gases|Coal|w/o CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new coal to gas plant w/o CCS. If more than one coal to gas technology is modelled, modellers should report fixed O&M costs  for each represented coal to gas technology by adding variables OM Cost|Fixed|Gases|Coal|w/o CCS|2, ... OM Cost|Fixed|Gases|Coal|w/o CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Hydrogen|Biomass|w/ CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new biomass to hydrogen plant with CCS. If more than one CCS biomass to hydrogen technology is modelled, modellers should report fixed O&M costs  for each represented CCS biomass to hydrogen technology by adding variables OM Cost|Fixed|Hydrogen|Biomass|w/ CCS|2, ... OM Cost|Fixed|Hydrogen|Biomass|w/ CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Hydrogen|Biomass|w/o CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new biomass to hydrogen plant w/o CCS. If more than one biomass to hydrogen technology is modelled, modellers should report fixed O&M costs  for each represented biomass to hydrogen technology by adding variables OM Cost|Fixed|Hydrogen|Biomass|w/o CCS|2, ... OM Cost|Fixed|Hydrogen|Biomass|w/o CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Hydrogen|Coal|w/ CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new coal to hydrogen plant with CCS. If more than one CCS coal to hydrogen technology is modelled, modellers should report fixed O&M costs  for each represented CCS coal to hydrogen technology by adding variables OM Cost|Fixed|Hydrogen|Coal|w/ CCS|2, ... OM Cost|Fixed|Hydrogen|Coal|w/ CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Hydrogen|Coal|w/o CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new coal to hydrogen plant w/o CCS. If more than one coal to hydrogen technology is modelled, modellers should report fixed O&M costs  for each represented coal to hydrogen technology by adding variables OM Cost|Fixed|Hydrogen|Coal|w/o CCS|2, ... OM Cost|Fixed|Hydrogen|Coal|w/o CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Hydrogen|Electricity;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new hydrogen-by-electrolysis plant. If more than hydrogen-by-electrolysis technology is modelled, modellers should report fixed O&M costs  for each represented hydrogen-by-electrolysis technology by adding variables OM Cost|Fixed|Hydrogen|Electricity|2, ... OM Cost|Fixed|Hydrogen|Electricity|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Hydrogen|Gas|w/ CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new gas to hydrogen plant with CCS. If more than one CCS gas to hydrogen technology is modelled, modellers should report fixed O&M costs  for each represented CCS gas to hydrogen technology by adding variables OM Cost|Fixed|Hydrogen|Gas|w/ CCS|2, ... OM Cost|Fixed|Hydrogen|Gas|w/ CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Hydrogen|Gas|w/o CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new gas to hydrogen plant w/o CCS. If more than one gas to hydrogen technology is modelled, modellers should report fixed O&M costs  for each represented gas to hydrogen technology by adding variables OM Cost|Fixed|Hydrogen|Gas|w/o CCS|2, ... OM Cost|Fixed|Hydrogen|Gas|w/o CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Liquids|Biomass|w/ CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new biomass to liquids plant with CCS. If more than one CCS BTL technology is modelled, modellers should report fixed O&M costs  for each represented CCS BTL technology by adding variables OM Cost|Fixed|Liquids|Biomass|w/ CCS|2, ... OM Cost|Fixed|Liquids|Biomass|w/ CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Liquids|Biomass|w/o CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new biomass to liquids plant w/o CCS. If more than one BTL technology is modelled, modellers should report fixed O&M costs  for each represented BTL technology by adding variables OM Cost|Fixed|Liquids|Biomass|w/o CCS|2, ... OM Cost|Fixed|Liquids|Biomass|w/o CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Liquids|Coal|w/ CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new coal to liquids plant with CCS. If more than one CCS CTL technology is modelled, modellers should report fixed O&M costs  for each represented CCS CTL technology by adding variables OM Cost|Fixed|Liquids|Coal|w/ CCS|2, ... OM Cost|Fixed|Liquids|Coal|w/ CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Liquids|Coal|w/o CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new coal to liquids plant w/o CCS. If more than one CTL technology is modelled, modellers should report fixed O&M costs  for each represented CTL technology by adding variables OM Cost|Fixed|Liquids|Coal|w/o CCS|2, ... OM Cost|Fixed|Liquids|Coal|w/o CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Liquids|Gas|w/ CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new gas to liquids plant with CCS. If more than one CCS GTL technology is modelled, modellers should report fixed O&M costs  for each represented CCS GTL technology by adding variables OM Cost|Fixed|Liquids|Gas|w/ CCS|2, ... OM Cost|Fixed|Liquids|Gas|w/ CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Liquids|Gas|w/o CCS;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new gas to liquids plant w/o CCS. If more than one GTL technology is modelled, modellers should report fixed O&M costs  for each represented GTL technology by adding variables OM Cost|Fixed|Liquids|Gas|w/o CCS|2, ... OM Cost|Fixed|Liquids|Gas|w/o CCS|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
OM Cost|Fixed|Liquids|Oil;US$2010/kW/yr OR local currency/kW/yr;0;;Annual fixed operation & maintainance cost of a new oil refining plant. If more than one refinery technology is modelled, modellers should report fixed O&M costs  for each represented refinery technology by adding variables OM Cost|Fixed|Liquids|Oil|2, ... OM Cost|Fixed|Liquids|Oil|N (with N = number of represented technologies) (matching the assignment of plant types to technologies in the reporting of capital costs as documented in the comments sheet).
Export|Agriculture;billion US$2010/yr OR local currency;0;;export of agricultural commodities measured in monetary units.
Export|Energy;billion US$2010/yr OR local currency;0;;export of energy commodities measured in monetary units.
Export|industry;billion US$2010/yr OR local currency;0;;export of industrial (non-energy) commodities measured in monetary units.
Import|Agriculture;billion US$2010/yr OR local currency;0;;import of agricultural commodities measured in monetary units.
Import|Energy;billion US$2010/yr OR local currency;0;;import of energy commodities measured in monetary units.
Import|industry;billion US$2010/yr OR local currency;0;;import of industrial (non-energy) commodities measured in monetary units.
Trade;billion US$2010/yr or local currency/yr;0;;net exports of all goods, at the global level these should add up to the trade losses only
Export|industry|Energy;billion US$2010/yr OR local currency;0;;export of energy commodities measured in monetary units.
Export|industry|Energy Intensive;billion US$2010/yr OR local currency;0;;export of energy intensive commodities measured in monetary units.
Export|industry|Manufacturing;billion US$2010/yr OR local currency;0;;export of manufacturing goods measured in monetary units.
Export|Other;billion US$2010/yr OR local currency;0;;export of other commodities measured in monetary units (please provide a definition of the sources in this category in the 'comments' tab).
Import|industry|Energy;billion US$2010/yr OR local currency;0;;Import of energy commodities measured in monetary units.
Import|industry|Energy Intensive;billion US$2010/yr OR local currency;0;;Import of energy intensive commodities measured in monetary units.
Import|industry|Manufacturing;billion US$2010/yr OR local currency;0;;Import of manufacturing goods measured in monetary units.
Import|Other;billion US$2010/yr OR local currency;0;;import of other commodities measured in monetary units (please provide a definition of the sources in this category in the 'comments' tab).
Water Consumption;km3/yr;0;;total water consumption
Water Consumption|Industrial Water;km3/yr;0;;water consumption for the industrial sector
Water Consumption|Municipal Water;km3/yr;0;;water consumption for the municipal sector (e.g., houses, offices, municipal irrigation)
Water Withdrawal;km3/yr;0;;total water withdrawal
Water Withdrawal|Industrial Water;km3/yr;0;;water withdrawals for the industrial sector (manufacturing sector if also reporting energy sector water use)
Water Withdrawal|Municipal Water;km3/yr;0;;water withdrawals for the municial sector (e.g., houses, offices, municipal irrigation)
Freshwater|Environmental Flow;km3/yr;0;;water allocated to environmental flow in rivers and groundwater systems
Population|Drinking Water Access;Million;0;;Population with access to improved drinking  water sources (by income level)
Population|Sanitation Acces;Million;0;;Population with access to improved sanitation  (by income level)
Water Desalination;km3/yr;0;;desalination water
Water Extraction|Brackish Water;km3/yr;0;;water extracted from brackish groundwater resources
Water Extraction|Groundwater;km3/yr;0;;water extracted from groundwater resources
Water Extraction|Seawater;km3/yr;0;;water extracted from ocean and seawater resources (including tidal zones)
Water Extraction|Surface Water;km3/yr;0;;water extracted from surface water resources (rivers, lakes ...)
Water Resource|Brackish Water;km3;0;;anticipated volume of exploitable brackish groundwater resources
Water Resource|Groundwater;km3;0;;anticipated volume of exploitable groundwater resources
Water Resource|Surface Water;km3;0;;anticipated volume of exploitable surface water resources
Water Transfer;km3/yr;0;;water imported/exported using conveyance infrastructure
Water Consumption|Irrigation;km3/yr;0;;water consumption for the irrigation
Water Consumption|Livestock;km3/yr;0;;water consumption for livestock
Water Withdrawal|Irrigation;km3/yr;0;;water withdrawal for irrigation
Water Withdrawal|Livestock;km3/yr;0;;water withdrawals for livestock
Improvement|Efficiency|Irrigation;%/yr;0;;improvements in irrigation water use efficiency per year
Land Cover|Cropland|Double-cropped;million ha;0;;area of land that is double-cropped (twice in a year)
Land Cover|Cropland|Rainfed;million ha;0;;area of land that is rain-fed
Land Cover|Water Ecosystems|Forests;million ha;0;;Land-use coverage of water-related ecosystem: forests
Land Cover|Water Ecosystems|Glaciers;million ha;0;;Land-use coverage of water-related ecosystem: glaciers
Land Cover|Water Ecosystems|Lakes;million ha;0;;Land-use coverage of water-related ecosystem: lakes
Land Cover|Water Ecosystems|Mountains;million ha;0;;Land-use coverage of water-related ecosystem: mountains
Land Cover|Water Ecosystems|Wetlands;million ha;0;;Land-use coverage of water-related ecosystem: wetlands
Water Consumption|Electricity;km3/yr;0;;total water consumption for net electricity production
Water Consumption|Electricity|Biomass;km3/yr;0;;water consumption for net electricity production from municipal solid waste, purpose-grown biomass, crop residues, forest industry waste, biogas
Water Consumption|Electricity|Biomass|w/ CCS;km3/yr;0;;water consumption for net electricity production from municipal solid waste, purpose-grown biomass, crop residues, forest industry waste with a CO2 capture component
Water Consumption|Electricity|Biomass|w/o CCS;km3/yr;0;;water consumption for net electricity production from municipal solid waste, purpose-grown biomass, crop residues, forest industry waste with freely vented CO2 emissions
Water Consumption|Electricity|Coal;km3/yr;0;;water consumption for net electricity production from coal
Water Consumption|Electricity|Coal|w/ CCS;km3/yr;0;;water consumption for net electricity production from coal with a CO2 capture component
Water Consumption|Electricity|Coal|w/o CCS;km3/yr;0;;water consumption for net electricity production from coal with freely vented CO2 emissions
Water Consumption|Electricity|Cooling Pond;km3/yr;0;;water consumption for net electricity production using pond cooling
Water Consumption|Electricity|Dry Cooling;km3/yr;0;;water consumption for net electricity production using dry cooling
Water Consumption|Electricity|Fossil;km3/yr;0;;water consumption for net electricity production from coal, gas, conventional and unconventional oil
Water Consumption|Electricity|Fossil|w/ CCS;km3/yr;0;;water consumption for net electricity production from coal, gas, conventional and unconventional oil used in combination with CCS
Water Consumption|Electricity|Fossil|w/o CCS;km3/yr;0;;water consumption for  net electricity production from coal, gas, conventional and unconventional oil without CCS
Water Consumption|Electricity|Gas;km3/yr;0;;water consumption for net electricity production from natural gas
Water Consumption|Electricity|Gas|w/ CCS;km3/yr;0;;water consumption for net electricity production from natural gas with a CO2 capture component
Water Consumption|Electricity|Gas|w/o CCS;km3/yr;0;;water consumption for net electricity production from natural gas with freely vented CO2 emissions
Water Consumption|Electricity|Geothermal;km3/yr;0;;water consumption for net electricity production from all sources of geothermal energy (e.g., hydrothermal, enhanced geothermal systems)
Water Consumption|Electricity|Hydro;km3/yr;0;;water consumption for net hydroelectric production
Water Consumption|Electricity|Non-Biomass Renewables;km3/yr;0;;water consumption for net electricity production from hydro, wind, solar, geothermal, ocean, and other renewable sources (excluding bioenergy). This is a summary category for all the non-biomass renewables.
Water Consumption|Electricity|Nuclear;km3/yr;0;;water consumption for net electricity production from nuclear energy
Water Consumption|Electricity|Oil;km3/yr;0;;water consumption for net electricity production from refined liquids
Water Consumption|Electricity|Oil|w/ CCS;km3/yr;0;;water consumption for net electricity production from refined liquids with a CO2 capture component
Water Consumption|Electricity|Oil|w/o CCS;km3/yr;0;;water consumption for net electricity production from refined liquids with freely vented CO2 emissions
Water Consumption|Electricity|Once Through;km3/yr;0;;water consumption for net electricity production using once through cooling
Water Consumption|Electricity|Other;km3/yr;0;;water consumption for net electricity production from sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Water Consumption|Electricity|Sea Cooling;km3/yr;0;;water consumption for net electricity production using sea water cooling
Water Consumption|Electricity|Solar;km3/yr;0;;water consumption for net electricity production from all sources of solar energy (e.g., PV and concentrating solar power)
Water Consumption|Electricity|Solar|CSP;km3/yr;0;;water consumption for net electricity production from concentrating solar power (CSP)
Water Consumption|Electricity|Solar|PV;km3/yr;0;;water consumption for net electricity production from solar photovoltaics (PV)
Water Consumption|Electricity|Wet Tower;km3/yr;0;;water consumption for net electricity production using wet tower cooling
Water Consumption|Electricity|Wind;km3/yr;0;;water consumption for net electricity production from wind energy (on- and offshore)
Water Consumption|Extraction;km3/yr;0;;total water consumption for extraction
Water Consumption|Gases;km3/yr;0;;total water consumption for gas production
Water Consumption|Heat;km3/yr;0;;total water consumption for heat generation
Water Consumption|Hydrogen;km3/yr;0;;total water consumption for hydrogen production
Water Consumption|Liquids;km3/yr;0;;total water consumption for refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)
Water Withdrawal|Electricity;km3/yr;0;;total water withdrawals for net electricity production
Water Withdrawal|Extraction;km3/yr;0;;total water withdrawal for extraction
Water Withdrawal|Gases;km3/yr;0;;total water withdrawal for gas production
Water Withdrawal|Heat;km3/yr;0;;total water withdrawal for heat generation
Water Withdrawal|Hydrogen;km3/yr;0;;total water withdrawal for hydrogen production
Water Withdrawal|Liquids;km3/yr;0;;total water withdrawal for refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)
Final Energy|Commercial|Water|Desalination;EJ/yr;0;;Energy consumption for desalination water
Final Energy|Commercial|Water|Groundwater Extraction;EJ/yr;0;;Energy consumption for groundwater extraction
Final Energy|Commercial|Water|Surface Water Extraction;EJ/yr;0;;Energy consumption for surface water extraction
Final Energy|Commercial|Water|Transfer;EJ/yr;0;;Energy consumption for water transfers
Water Consumption|Extraction|Coal;km3/yr;0;;water consumption for coal extraction
Water Consumption|Extraction|Gas;km3/yr;0;;water consumption for gas extraction
Water Consumption|Extraction|Oil;km3/yr;0;;water consumption for oil extraction
Water Consumption|Extraction|Uranium;km3/yr;0;;water consumption for uranium extraction
Water Consumption|Gases|Biomass;km3/yr;0;;water consumption for gas production from biomass
Water Consumption|Gases|Coal;km3/yr;0;;water consumption for gas production from coal
Water Consumption|Gases|Natural Gas;km3/yr;0;;water consumption for gas production from natural gas
Water Consumption|Gases|Other;km3/yr;0;;water consumption for gas production from other
Water Consumption|Heat|Biomass;km3/yr;0;;water consumption for heat generation from biomass
Water Consumption|Heat|Coal;km3/yr;0;;water consumption for heat generation from coal
Water Consumption|Heat|Gas;km3/yr;0;;water consumption for heat generation from gas
Water Consumption|Heat|Geothermal;km3/yr;0;;water consumption for heat generation from from all sources of geothermal energy (e.g., hydrothermal, enhanced geothermal systems)
Water Consumption|Heat|Nuclear;km3/yr;0;;water consumption for heat generation from nuclear
Water Consumption|Heat|Oil;km3/yr;0;;water consumption for heat generation from oil
Water Consumption|Heat|Other;km3/yr;0;;water consumption for heat generation from other sources
Water Consumption|Heat|Solar;km3/yr;0;;water consumption for heat generation from solar
Water Consumption|Hydrogen|Biomass;km3/yr;0;;water consumption for hydrogen production from biomass
Water Consumption|Hydrogen|Biomass|w/ CCS;km3/yr;0;;water consumption from hydrogen production from biomass with a CO2 capture component
Water Consumption|Hydrogen|Biomass|w/o CCS;km3/yr;0;;water consumption for hydrogen production from biomass with freely vented CO2 emissions
Water Consumption|Hydrogen|Coal;km3/yr;0;;water consumption for hydrogen production from coal
Water Consumption|Hydrogen|Coal|w/ CCS;km3/yr;0;;water consumption for hydrogen production from coal with a CO2 capture component
Water Consumption|Hydrogen|Coal|w/o CCS;km3/yr;0;;water consumption for hydrogen production from coal with freely vented CO2 emissions
Water Consumption|Hydrogen|Electricity;km3/yr;0;;water consumption for hydrogen production from electricity
Water Consumption|Hydrogen|Fossil;km3/yr;0;;water consumption for hydrogen production from fossil fuels
Water Consumption|Hydrogen|Fossil|w/ CCS;km3/yr;0;;water consumption for hydrogen production from fossil fuels with a CO2 capture component
Water Consumption|Hydrogen|Fossil|w/o CCS;km3/yr;0;;water consumption for hydrogen production from fossil fuels with freely vented CO2 emissions
Water Consumption|Hydrogen|Gas;km3/yr;0;;water consumption for hydrogen production from gas
Water Consumption|Hydrogen|Gas|w/ CCS;km3/yr;0;;water consumption for hydrogen production from gas with a CO2 capture component
